,name,links,year,type,char
96000,Inside the House,https://www.kinopoisk.ru/film/1118758/,2017,film,"[[{'name': 'Inside the House (2017)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2017', '/lists/movies/year--2017/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['ужасы', '/lists/movies/genre--horror/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Jennifer Bonior', '/name/1964921/'], ['Dycee Wildman', '/name/3521502/']]}, {'Сценарий': [['Jennifer Bonior', '/name/1964921/'], ['Dycee Wildman', '/name/3521502/']]}, {'Продюсер': [['Jennifer Bonior', '/name/1964921/'], ['Dycee Wildman', '/name/3521502/']]}, {'Оператор': [['Дастин Хайер', '/name/4219317/']]}, {'Композитор': [['Билл Митчелл', '/name/2735700/']]}, {'Монтаж': [['Трэвис МакЛеод', '/name/1928093/']]}, {'Премьера в мире': [['27 октября 2017', '/film/1118758/dates/']]}, {'Время': '4 мин.'}], [{'actor_name': 'Marissa Kaye', 'link': '/name/4079363/'}, {'actor_name': 'Mackenzie Smith', 'link': '/name/5074561/'}], ['none', 'none', 'none']]"
96001,Tell Me Twice,https://www.kinopoisk.ru/film/1109620/,2017,film,"[[{'name': 'Tell Me Twice (2017)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2017', '/lists/movies/year--2017/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top'], ['мелодрама', '/lists/movies/genre--romance/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Caitlin Stickels', '/name/4989545/']]}, {'Сценарий': [['Morgan Ingari', '/name/3299278/'], ['Caitlin Stickels', '/name/4989545/']]}, {'Продюсер': '—'}, {'Оператор': [['Бенжамин Дьюи', '/name/2522347/']]}, {'Композитор': '—'}, {'Художник': [['Джеймс Бартол', '/name/2658574/']]}, {'Время': '13 мин.'}], [{'actor_name': 'Джонатан Иглесиас', 'link': '/name/2733955/'}, {'actor_name': 'Kea Trevett', 'link': '/name/3792368/'}, {'actor_name': 'Tommy Bernardi', 'link': '/name/3259363/'}, {'actor_name': 'Джесс Старк', 'link': '/name/5060688/'}, {'actor_name': 'Jessica Stark', 'link': '/name/4265885/'}], ['none', 'none', 'none']]"
96002,Братья,https://www.kinopoisk.ru/film/1301770/,2017,film,"[[{'name': 'Братья (ТВ, 2017)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2017', '/lists/movies/year--2017/?b=films&b=top']]}, {'Страна': [['Германия', '/lists/movies/country--3/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top'], ['слова', '/film/1301770/keywords/']]}, {'Слоган': '—'}, {'Режиссер': [['Зюли Аладаг', '/name/492856/']]}, {'Сценарий': [['Зюли Аладаг', '/name/492856/'], ['Кристин Дерфлер', '/name/296332/']]}, {'Продюсер': [['Франциска Спечт', '/name/2270233/']]}, {'Оператор': [['Roland Stuprich', '/name/1856289/']]}, {'Композитор': [['Флориан Тесслофф', '/name/649146/'], ['Матиас Вебер', '/name/632704/']]}, {'Художник': [['Тим Пэннен', '/name/2003989/'], ['Абделла Ачир', '/name/5007973/'], ['Andreas Fassonge', '/name/4505579/'], ['...', '/film/1301770/cast/who_is/design/']]}, {'Монтаж': [['Sabine Garscha', '/name/2036703/'], ['Саския Меттен', '/name/2036732/']]}, {'Время': '180 мин. / 03:00'}], [{'actor_name': 'Эдин Хасанович', 'link': '/name/1662004/'}, {'actor_name': 'Эрол Афсин', 'link': '/name/2483342/'}, {'actor_name': 'Тэмер Айджит', 'link': '/name/391070/'}, {'actor_name': 'Торстен Мертен', 'link': '/name/432994/'}, {'actor_name': 'Мишель Матичевич', 'link': '/name/374109/'}, {'actor_name': 'Abdullah Daglioglu', 'link': '/name/1515234/'}, {'actor_name': 'Zainab Alsawah', 'link': '/name/5370771/'}, {'actor_name': 'Сабрина Мейер', 'link': '/name/3098530/'}, {'actor_name': 'Inaam Wali-Al Battat', 'link': '/name/5502758/'}, {'actor_name': 'Вильмар Бьери', 'link': '/name/1231193/'}], ['none', 'none', 'none']]"
96003,No Leftovers,https://www.kinopoisk.ru/film/1103944/,2017,film,"[[{'name': 'No Leftovers (2017)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2017', '/lists/movies/year--2017/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Леа Ламарр', '/name/2999341/'], ['Челси Скидмор', '/name/3431637/']]}, {'Сценарий': [['Леа Ламарр', '/name/2999341/'], ['Челси Скидмор', '/name/3431637/']]}, {'Продюсер': [['Леа Ламарр', '/name/2999341/'], ['Челси Скидмор', '/name/3431637/'], ['Джули Варнок', '/name/952580/']]}, {'Оператор': [['Rocker Meadows', '/name/3895648/']]}, {'Композитор': '—'}, {'Бюджет': [['$10\xa0000', '/film/1103944/box/']]}, {'Премьера в мире': [['22 ноября 2017', '/film/1103944/dates/']]}, {'Время': '—'}], [{'actor_name': 'Челси Скидмор', 'link': '/name/3431637/'}, {'actor_name': 'Леа Ламарр', 'link': '/name/2999341/'}, {'actor_name': 'Ry Doon', 'link': '/name/4134594/'}, {'actor_name': 'Кристофер Гартин', 'link': '/name/2495/'}, {'actor_name': 'Джули Варнок', 'link': '/name/952580/'}, {'actor_name': 'Стивен Рэндольф', 'link': '/name/2351707/'}], ['none', 'none', 'none']]"
96004,Sprawa Rity G.,https://www.kinopoisk.ru/film/1103166/,2017,film,"[[{'name': 'Sprawa Rity G. (ТВ, 2017)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2017', '/lists/movies/year--2017/?b=films&b=top']]}, {'Страна': [['Польша', '/lists/movies/country--32/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Daria Kopiec', '/name/4061404/']]}, {'Сценарий': [['Jolanta Janiczak', '/name/4935572/'], ['Daria Kopiec', '/name/4061404/']]}, {'Продюсер': [['Влодзимеж Нидерхаус', '/name/482615/'], ['Агнешка Бедковская', '/name/2281563/'], ['Katarzyna Drapala', '/name/5245119/']]}, {'Оператор': [['Piotr Chodura', '/name/3844727/']]}, {'Композитор': [['Joanna Halszka Sokolowska', '/name/3129737/']]}, {'Художник': [['Анна Вундерлих', '/name/2017065/'], ['Patrycja Fitzet', '/name/2543659/']]}, {'Монтаж': [['Monika Sirojc', '/name/3881817/']]}, {'Время': '55 мин.'}], [{'actor_name': 'Моника Буховиец', 'link': '/name/904231/'}, {'actor_name': 'Мартына Бычковска', 'link': '/name/4935574/'}, {'actor_name': 'Каспер Ольшевский', 'link': '/name/4198914/'}, {'actor_name': 'Марцин Чарнецки', 'link': '/name/390446/'}, {'actor_name': 'Изабелла Дабровска', 'link': '/name/397527/'}, {'actor_name': 'Михал Билински', 'link': '/name/941943/'}, {'actor_name': 'Анджей Блюменфельд', 'link': '/name/38093/'}, {'actor_name': 'Мирослав Зброевич', 'link': '/name/20106/'}, {'actor_name': 'Александра Божек', 'link': '/name/486141/'}], ['none', 'none', 'none']]"
96005,Aber was ist mit der Show?,https://www.kinopoisk.ru/film/1169721/,2017,film,"[[{'name': 'Aber was ist mit der Show? (2017)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2017', '/lists/movies/year--2017/?b=films&b=top']]}, {'Страна': [['Германия', '/lists/movies/country--3/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Jano Kaltenbach', '/name/4748947/']]}, {'Сценарий': [['Jano Kaltenbach', '/name/4748947/']]}, {'Продюсер': '—'}, {'Оператор': [['Daniel Hellwig', '/name/4953257/']]}, {'Композитор': '—'}, {'Премьера в мире': [['14 октября 2017', '/film/1169721/dates/']]}, {'Время': '—'}], [{'actor_name': 'Мартин Бертрам', 'link': '/name/2942437/'}, {'actor_name': 'Holger Kreymeier', 'link': '/name/5237359/'}, {'actor_name': 'Sten Mitteis', 'link': '/name/5237360/'}, {'actor_name': 'Марио Рон', 'link': '/name/2663521/'}, {'actor_name': 'Tobias Walter', 'link': '/name/4566716/'}], ['none', 'none', 'none']]"
96006,Civil Rites,https://www.kinopoisk.ru/film/1109049/,2017,film,"[[{'name': 'Civil Rites (2017)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2017', '/lists/movies/year--2017/?b=films&b=top']]}, {'Страна': [['Великобритания', '/lists/movies/country--11/?b=films&b=top']]}, {'Жанр': [['документальный', '/lists/movies/genre--documentary/?b=films&b=top'], ['короткометражка', '/lists/movies/genre--short/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Andrea Luka Zimmerman', '/name/2588225/']]}, {'Сценарий': '—'}, {'Продюсер': '—'}, {'Композитор': '—'}, {'Монтаж': [['Andrea Luka Zimmerman', '/name/2588225/']]}, {'Премьера в мире': [['7 декабря 2017', '/film/1109049/dates/'], ['...', '/film/1109049/dates/']]}, {'Время': '30 мин.'}], [{'actor_name': 'Ruhi Akhtar', 'link': '/name/4987050/'}, {'actor_name': 'Paul Najid Al Rahman Barry', 'link': '/name/4987051/'}, {'actor_name': 'Chandni Chopra', 'link': '/name/4987052/'}, {'actor_name': 'Saeema Choudhry', 'link': '/name/4987053/'}, {'actor_name': 'David County', 'link': '/name/4987054/'}, {'actor_name': 'Chris Ervan', 'link': '/name/4987055/'}, {'actor_name': 'Pat Garrett', 'link': '/name/4987056/'}, {'actor_name': 'Тина Гарави', 'link': '/name/1150921/'}, {'actor_name': 'Mary Hillary', 'link': '/name/4987057/'}, {'actor_name': 'Richard Honeyghan', 'link': '/name/4987058/'}], ['none', 'none', 'none']]"
96007,Off Ice,https://www.kinopoisk.ru/film/1103015/,2017,film,"[[{'name': 'Off Ice (2017)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2017', '/lists/movies/year--2017/?b=films&b=top']]}, {'Страна': [['Франция', '/lists/movies/country--8/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Педро Кольантес', '/name/2426809/']]}, {'Сценарий': [['Педро Кольантес', '/name/2426809/']]}, {'Продюсер': [['Marc-Benoît Créancier', '/name/1956474/']]}, {'Оператор': [['Victor Seguin', '/name/3228553/']]}, {'Композитор': '—'}, {'Художник': [['Леа Альрик', '/name/3391607/']]}, {'Монтаж': [['Альваро Хименес', '/name/848655/']]}, {'Премьера в мире': [['11 ноября 2017', '/film/1103015/dates/'], ['...', '/film/1103015/dates/']]}, {'Время': '20 мин.'}], [{'actor_name': 'Claire Lafutt', 'link': '/name/4793872/'}, {'actor_name': 'Хьюго Фернандес', 'link': '/name/2515715/'}, {'actor_name': 'Орелия Пети', 'link': '/name/375388/'}, {'actor_name': 'Эмма Гранжан', 'link': '/name/3828240/'}, {'actor_name': 'Ален Дион', 'link': '/name/906012/'}, {'actor_name': 'Eurydice El-Etr', 'link': '/name/3161553/'}, {'actor_name': 'Paul Granier', 'link': '/name/3200305/'}], ['none', 'none', 'none']]"
96008,Solange,https://www.kinopoisk.ru/film/1122194/,2017,film,"[[{'name': 'Solange (2017)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2017', '/lists/movies/year--2017/?b=films&b=top']]}, {'Страна': '—'}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Victor Lucas', '/name/5083938/']]}, {'Сценарий': [['Céline Brice', '/name/5083939/'], ['Léa Dailly', '/name/5083940/'], ['Antoine Fagnere', '/name/5083941/'], ['...', '/film/1122194/cast/who_is/writer/']]}, {'Продюсер': [['Léa Dailly', '/name/5083940/']]}, {'Композитор': [['Maxime Grosset', '/name/5083950/']]}, {'Монтаж': [['Jérémy Ferahian', '/name/5083942/']]}, {'Время': '—'}], [{'actor_name': 'Melanie Belamy', 'link': '/name/4637320/'}, {'actor_name': 'Aloïs Menu', 'link': '/name/4478026/'}, {'actor_name': 'Aurore Colson', 'link': '/name/5083945/'}, {'actor_name': 'Antoine Fagnere', 'link': '/name/5083941/'}, {'actor_name': 'Valentin Leopold', 'link': '/name/5083946/'}, {'actor_name': 'Marielle Loutf', 'link': '/name/5083947/'}, {'actor_name': 'Inès Lucas', 'link': '/name/5083948/'}, {'actor_name': 'Victor Lucas', 'link': '/name/5083938/'}, {'actor_name': 'Aurélien Menard', 'link': '/name/5083944/'}, {'actor_name': 'Marc Seurat', 'link': '/name/5083949/'}], ['none', 'none', 'none']]"
96009,Tony's Place,https://www.kinopoisk.ru/film/1104428/,2017,film,"[[{'name': ""Tony's Place (2017)"", 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2017', '/lists/movies/year--2017/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Фернандель Альмонор', '/name/1970721/']]}, {'Сценарий': [['Фернандель Альмонор', '/name/1970721/'], ['Марк Энтони Уильямс', '/name/229250/']]}, {'Продюсер': [['Фернандель Альмонор', '/name/1970721/'], ['Winn Gaspard', '/name/2549115/'], ['Марк Энтони Уильямс', '/name/229250/']]}, {'Композитор': '—'}, {'Время': '11 мин.'}], [{'actor_name': 'Аудья Холидэй', 'link': '/name/1093142/'}, {'actor_name': 'Марк Энтони Уильямс', 'link': '/name/229250/'}, {'actor_name': 'Winn Gaspard', 'link': '/name/2549115/'}], ['none', 'none', 'none']]"
